0,backpack,transport
1,computer,work
2,desk,sit
3,monitor,look
4,chair,sit
5,computer,look
6,computer,use
7,monitor,use
8,photograph,indicate
9,stroller,push
10,sidewalk,walk
11,shadow,roll
12,ocean,confront
13,street,walk
14,street,traverse
15,road,traverse
16,umbrella,transport
17,shopping_bag,transport
18,bag,transport
19,motorcycle,depend_on
20,car,depend_on
21,bag,transport
22,car,stand
23,man,stand
24,newspaper,read
25,telephone,sit
26,hand,look
27,train,sit
28,metro,sit
29,train,wait
30,book,read
31,rock,sit
32,gesture,make
33,bicycle,depend_on
34,street,wait
35,woman,talk
36,sofa,sit
37,leather,sit
38,hand,clasp
39,bicycle,stand
40,table,stand
41,bench,sit
42,street,depend_on
43,street,stand
44,room,stand
45,drinking_fountain,stand
46,table,sit
47,easy_chair,sit
48,sidewalk,stand
49,walk,walk
50,computer,sit
51,step,sit
52,measure,sit
53,passenger_car,push
54,building,enter
55,building,become
56,building,stand
57,cane,walk
58,cane,use
59,church,stand
60,step,walk
61,dog,walk
62,car,drive
63,map,look
64,map,read
65,newspaper,transport
66,crossing,walk
67,car,walk
68,van,walk
69,road,walk
70,laptop,use
71,recliner,sit
72,drink,enjoy
73,piano,play
74,man,watch
75,piano,sit
76,counter,sit
77,woman,sit
78,menu,look
79,woman,leave
80,restaurant,stand
81,suit,stand
82,table,seat
83,building,front
84,case,transport
85,crowd,walk
86,booklet,read
87,blanket,sit
88,bishop,stand
89,building,walk
90,building,leave
91,boat,stand
92,boat,steer
93,telephone_booth,stand
94,sidewalk,wait
95,shoulder,look
96,intersection,traverse
97,shop,indicate
98,park_bench,sit
99,child,transport
100,cart,stand
101,crossing,use
102,man,walk
103,pavement,walk
104,woman,walk
105,telephone,talk
106,bus,depend_on
107,bus,exceed
108,machine,sit
109,window,look
110,outside,gather
111,booklet,transport
112,airplane,walk
113,cart,drive
114,airplane,stand
115,way,walk
116,trail,walk
117,table,front
118,water,stand
119,internet,hold
120,spectacles,remove
121,awning,walk
122,sign,walk
123,ski,transport
124,plaza,sit
125,bench,put
126,plaza,talk
127,jacket,transport
128,shop,walk
129,minibike,depend_on
130,parking_lot,walk
131,batch,walk
132,shoulder_bag,transport
133,minibike,drive
134,park,walk
135,tile,stand
136,head,become
137,item,look
138,item,indicate
139,tile,walk
140,tray,transport
141,cone,run
142,grass,stand
143,ship,stand
144,wall,sit
145,truck,walk
146,surfboard,transport
147,badminton,play
148,tennis,play
149,ball,see
150,hammer,reach
151,belt,blacken
152,block,stand
153,board,transport
154,water,look
155,water,close
156,parachute,attach
157,attraction,visit
158,bridge,walk
159,table,tend
160,airplane,watch
161,machine,push
162,vacuum,push
163,stool,stand
164,computer_game,play
165,aquarium,look
166,picture,look
167,present,wind
168,gift,wind
169,car,sit
170,vehicle,sit
171,counter,stand
172,bathtub,sit
173,haircut,get_down
174,barn_door,push
175,display,stand
176,case,stand
177,hair,turn
178,ball,roll
