000,airplane,board
001,airplane,direct
002,airplane,exit
003,airplane,fly
004,airplane,inspect
005,airplane,load
006,airplane,ride
007,airplane,sit_on
008,airplane,wash
009,airplane,no_interaction
010,bicycle,carry
011,bicycle,hold
012,bicycle,inspect
013,bicycle,jump
014,bicycle,hop_on
015,bicycle,park
016,bicycle,push
017,bicycle,repair
018,bicycle,ride
019,bicycle,sit_on
020,bicycle,straddle
021,bicycle,walk
022,bicycle,wash
023,bicycle,no_interaction
024,bird,chase
025,bird,feed
026,bird,hold
027,bird,pet
028,bird,release
029,bird,watch
030,bird,no_interaction
031,boat,board
032,boat,drive
033,boat,exit
034,boat,inspect
035,boat,jump
036,boat,launch
037,boat,repair
038,boat,ride
039,boat,row
040,boat,sail
041,boat,sit_on
042,boat,stand_on
043,boat,tie
044,boat,wash
045,boat,no_interaction
046,bottle,carry
047,bottle,drink_with
048,bottle,hold
049,bottle,inspect
050,bottle,lick
051,bottle,open
052,bottle,pour
053,bottle,no_interaction
054,bus,board
055,bus,direct
056,bus,drive
057,bus,exit
058,bus,inspect
059,bus,load
060,bus,ride
061,bus,sit_on
062,bus,wash
063,bus,wave
064,bus,no_interaction
065,car,board
066,car,direct
067,car,drive
068,car,hose
069,car,inspect
070,car,jump
071,car,load
072,car,park
073,car,ride
074,car,wash
075,car,no_interaction
076,cat,dry
077,cat,feed
078,cat,hold
079,cat,hug
080,cat,kiss
081,cat,pet
082,cat,scratch
083,cat,wash
084,cat,chase
085,cat,no_interaction
086,chair,carry
087,chair,hold
088,chair,lie_on
089,chair,sit_on
090,chair,stand_on
091,chair,no_interaction
092,couch,carry
093,couch,lie_on
094,couch,sit_on
095,couch,no_interaction
096,cow,feed
097,cow,herd
098,cow,hold
099,cow,hug
100,cow,kiss
101,cow,lasso
102,cow,milk
103,cow,pet
104,cow,ride
105,cow,walk
106,cow,no_interaction
107,dining_table,clean
108,dining_table,eat_at
109,dining_table,sit_at
110,dining_table,no_interaction
111,dog,carry
112,dog,dry
113,dog,feed
114,dog,groom
115,dog,hold
116,dog,hose
117,dog,hug
118,dog,inspect
119,dog,kiss
120,dog,pet
121,dog,run
122,dog,scratch
123,dog,straddle
124,dog,train
125,dog,walk
126,dog,wash
127,dog,chase
128,dog,no_interaction
129,horse,feed
130,horse,groom
131,horse,hold
132,horse,hug
133,horse,jump
134,horse,kiss
135,horse,load
136,horse,hop_on
137,horse,pet
138,horse,race
139,horse,ride
140,horse,run
141,horse,straddle
142,horse,train
143,horse,walk
144,horse,wash
145,horse,no_interaction
146,motorcycle,hold
147,motorcycle,inspect
148,motorcycle,jump
149,motorcycle,hop_on
150,motorcycle,park
151,motorcycle,push
152,motorcycle,race
153,motorcycle,ride
154,motorcycle,sit_on
155,motorcycle,straddle
156,motorcycle,turn
157,motorcycle,walk
158,motorcycle,wash
159,motorcycle,no_interaction
160,person,carry
161,person,greet
162,person,hold
163,person,hug
164,person,kiss
165,person,stab
166,person,tag
167,person,teach
168,person,lick
169,person,no_interaction
170,potted_plant,carry
171,potted_plant,hold
172,potted_plant,hose
173,potted_plant,no_interaction
174,sheep,carry
175,sheep,feed
176,sheep,herd
177,sheep,hold
178,sheep,hug
179,sheep,kiss
180,sheep,pet
181,sheep,ride
182,sheep,shear
183,sheep,walk
184,sheep,wash
185,sheep,no_interaction
186,train,board
187,train,drive
188,train,exit
189,train,load
190,train,ride
191,train,sit_on
192,train,wash
193,train,no_interaction
194,tv,control
195,tv,repair
196,tv,watch
197,tv,no_interaction
198,apple,buy
199,apple,cut
200,apple,eat
201,apple,hold
202,apple,inspect
203,apple,peel
204,apple,pick
205,apple,smell
206,apple,wash
207,apple,no_interaction
208,backpack,carry
209,backpack,hold
210,backpack,inspect
211,backpack,open
212,backpack,wear
213,backpack,no_interaction
214,banana,buy
215,banana,carry
216,banana,cut
217,banana,eat
218,banana,hold
219,banana,inspect
220,banana,peel
221,banana,pick
222,banana,smell
223,banana,no_interaction
224,baseball_bat,break
225,baseball_bat,carry
226,baseball_bat,hold
227,baseball_bat,sign
228,baseball_bat,swing
229,baseball_bat,throw
230,baseball_bat,wield
231,baseball_bat,no_interaction
232,baseball_glove,hold
233,baseball_glove,wear
234,baseball_glove,no_interaction
235,bear,feed
236,bear,hunt
237,bear,watch
238,bear,no_interaction
239,bed,clean
240,bed,lie_on
241,bed,sit_on
242,bed,no_interaction
243,bench,inspect
244,bench,lie_on
245,bench,sit_on
246,bench,no_interaction
247,book,carry
248,book,hold
249,book,open
250,book,read
251,book,no_interaction
252,bowl,hold
253,bowl,stir
254,bowl,wash
255,bowl,lick
256,bowl,no_interaction
257,broccoli,cut
258,broccoli,eat
259,broccoli,hold
260,broccoli,smell
261,broccoli,stir
262,broccoli,wash
263,broccoli,no_interaction
264,cake,blow
265,cake,carry
266,cake,cut
267,cake,eat
268,cake,hold
269,cake,light
270,cake,make
271,cake,pick_up
272,cake,no_interaction
273,carrot,carry
274,carrot,cook
275,carrot,cut
276,carrot,eat
277,carrot,hold
278,carrot,peel
279,carrot,smell
280,carrot,stir
281,carrot,wash
282,carrot,no_interaction
283,cell_phone,carry
284,cell_phone,hold
285,cell_phone,read
286,cell_phone,repair
287,cell_phone,talk_on
288,cell_phone,text_on
289,cell_phone,no_interaction
290,clock,check
291,clock,hold
292,clock,repair
293,clock,set
294,clock,no_interaction
295,cup,carry
296,cup,drink_with
297,cup,hold
298,cup,inspect
299,cup,pour
300,cup,sip
301,cup,smell
302,cup,fill
303,cup,wash
304,cup,no_interaction
305,donut,buy
306,donut,carry
