,file
0,HICO_train2015_00000001.jpg
1,HICO_train2015_00000004.jpg
2,HICO_train2015_00000005.jpg
3,HICO_train2015_00000006.jpg
4,HICO_train2015_00000008.jpg
5,HICO_train2015_00000009.jpg
6,HICO_train2015_00000010.jpg
7,HICO_train2015_00000011.jpg
8,HICO_train2015_00000014.jpg
9,HICO_train2015_00000015.jpg
10,HICO_train2015_00000016.jpg
11,HICO_train2015_00000017.jpg
12,HICO_train2015_00000018.jpg
13,HICO_train2015_00000019.jpg
14,HICO_train2015_00000020.jpg
15,HICO_train2015_00000021.jpg
16,HICO_train2015_00000022.jpg
17,HICO_train2015_00000023.jpg
18,HICO_train2015_00000025.jpg
19,HICO_train2015_00000027.jpg
20,HICO_train2015_00000028.jpg
21,HICO_train2015_00000029.jpg
22,HICO_train2015_00000031.jpg
23,HICO_train2015_00000032.jpg
24,HICO_train2015_00000033.jpg
25,HICO_train2015_00000034.jpg
26,HICO_train2015_00000036.jpg
27,HICO_train2015_00000038.jpg
28,HICO_train2015_00000039.jpg
29,HICO_train2015_00000040.jpg
30,HICO_train2015_00000043.jpg
31,HICO_train2015_00000044.jpg
32,HICO_train2015_00000046.jpg
33,HICO_train2015_00000047.jpg
34,HICO_train2015_00000048.jpg
35,HICO_train2015_00000055.jpg
36,HICO_train2015_00000059.jpg
37,HICO_train2015_00000060.jpg
38,HICO_train2015_00000061.jpg
39,HICO_train2015_00000062.jpg
40,HICO_train2015_00000063.jpg
41,HICO_train2015_00000064.jpg
42,HICO_train2015_00000065.jpg
43,HICO_train2015_00000066.jpg
44,HICO_train2015_00000067.jpg
45,HICO_train2015_00000068.jpg
46,HICO_train2015_00000072.jpg
47,HICO_train2015_00000075.jpg
48,HICO_train2015_00000077.jpg
49,HICO_train2015_00000080.jpg
50,HICO_train2015_00000082.jpg
51,HICO_train2015_00000083.jpg
52,HICO_train2015_00000086.jpg
53,HICO_train2015_00000089.jpg
54,HICO_train2015_00000090.jpg
55,HICO_train2015_00000091.jpg
56,HICO_train2015_00000092.jpg
57,HICO_train2015_00000093.jpg
58,HICO_train2015_00000094.jpg
59,HICO_train2015_00000095.jpg
60,HICO_train2015_00000096.jpg
61,HICO_train2015_00000097.jpg
62,HICO_train2015_00000099.jpg
63,HICO_train2015_00000100.jpg
64,HICO_train2015_00000101.jpg
65,HICO_train2015_00000103.jpg
66,HICO_train2015_00000104.jpg
67,HICO_train2015_00000105.jpg
68,HICO_train2015_00000107.jpg
69,HICO_train2015_00000108.jpg
70,HICO_train2015_00000109.jpg
71,HICO_train2015_00000110.jpg
72,HICO_train2015_00000112.jpg
73,HICO_train2015_00000113.jpg
74,HICO_train2015_00000115.jpg
75,HICO_train2015_00000116.jpg
76,HICO_train2015_00000117.jpg
77,HICO_train2015_00000119.jpg
78,HICO_train2015_00000120.jpg
79,HICO_train2015_00000121.jpg
80,HICO_train2015_00000122.jpg
81,HICO_train2015_00000123.jpg
82,HICO_train2015_00000124.jpg
83,HICO_train2015_00000125.jpg
84,HICO_train2015_00000127.jpg
85,HICO_train2015_00000128.jpg
86,HICO_train2015_00000129.jpg
87,HICO_train2015_00000130.jpg
88,HICO_train2015_00000131.jpg
89,HICO_train2015_00000132.jpg
90,HICO_train2015_00000134.jpg
91,HICO_train2015_00000137.jpg
92,HICO_train2015_00000138.jpg
93,HICO_train2015_00000140.jpg
94,HICO_train2015_00000141.jpg
95,HICO_train2015_00000142.jpg
96,HICO_train2015_00000143.jpg
97,HICO_train2015_00000144.jpg
98,HICO_train2015_00000145.jpg
99,HICO_train2015_00000148.jpg
100,HICO_train2015_00000149.jpg
101,HICO_train2015_00000152.jpg
102,HICO_train2015_00000156.jpg
103,HICO_train2015_00000158.jpg
104,HICO_train2015_00000159.jpg
105,HICO_train2015_00000161.jpg
106,HICO_train2015_00000163.jpg
107,HICO_train2015_00000164.jpg
